INFO 2025-02-24 23:16:46,694 [Thread: 11844] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
ERROR 2025-02-24 23:16:53,450 [Thread: 11844] [error_handling - handle_error_new:20] Exception caught: MultiValueDictKeyError - 'account'
ERROR 2025-02-24 23:16:53,450 [Thread: 11844] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:16:53,451 [Thread: 11844] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 6757
ERROR 2025-02-24 23:16:53,455 [Thread: 13924] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:16:53,456 [Thread: 13924] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?sender_seed=sEdSc7GENA9Z97eYBD1Nqm362JVRZ24&receiving_account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg HTTP/1.1" 500 45
INFO 2025-02-24 23:18:15,881 [Thread: 14960] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
ERROR 2025-02-24 23:18:34,705 [Thread: 14960] [error_handling - handle_error_new:20] Exception caught: MultiValueDictKeyError - 'account'
ERROR 2025-02-24 23:18:34,705 [Thread: 14960] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:18:34,705 [Thread: 14960] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 18824
ERROR 2025-02-24 23:18:34,708 [Thread: 13924] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:18:34,709 [Thread: 13924] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?receiving_account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg&sender_seed=sEdSc7GENA9Z97eYBD1Nqm362JVRZ24 HTTP/1.1" 500 45
INFO 2025-02-24 23:19:59,477 [Thread: 18016] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:19:59,479 [Thread: 18016] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
INFO 2025-02-24 23:19:59,937 [Thread: 18016] [payments - send_xrp_payment_and_delete_account:72] await check_account_ledger_entries total time: 53
INFO 2025-02-24 23:19:59,937 [Thread: 18016] [escrows_util - check_escrow_entries:24] No Escrow entries found.
INFO 2025-02-24 23:19:59,938 [Thread: 18016] [payments_util - check_pay_channel_entries:108] No PayChannel entries found.
INFO 2025-02-24 23:19:59,938 [Thread: 18016] [ledger_util - check_ripple_state_entries:70] No RippleState entries found.
INFO 2025-02-24 23:19:59,938 [Thread: 18016] [account_utils - check_check_entries:106] No Check entries found.
INFO 2025-02-24 23:19:59,985 [Thread: 18016] [payments - send_xrp_payment_and_delete_account:95] await account_info_response total time: 46
INFO 2025-02-24 23:20:00,027 [Thread: 18016] [payments - send_xrp_payment_and_delete_account:103] await get_account_reserves total time: 42
ERROR 2025-02-24 23:20:00,172 [Thread: 18016] [error_handling - handle_error_new:20] Exception caught: XRPLException - {'status': 'failure', 'message': 'Insufficient balance to cover the reserve and fees.'}
ERROR 2025-02-24 23:20:00,172 [Thread: 18016] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:20:00,173 [Thread: 18016] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 695
ERROR 2025-02-24 23:20:00,176 [Thread: 13924] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:20:00,178 [Thread: 13924] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg&sender_seed=sEdSc7GENA9Z97eYBD1Nqm362JVRZ24 HTTP/1.1" 500 87
INFO 2025-02-24 23:20:44,325 [Thread: 15676] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:20:44,326 [Thread: 15676] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
INFO 2025-02-24 23:20:44,635 [Thread: 15676] [payments - send_xrp_payment_and_delete_account:72] await check_account_ledger_entries total time: 61
INFO 2025-02-24 23:20:44,635 [Thread: 15676] [escrows_util - check_escrow_entries:24] No Escrow entries found.
INFO 2025-02-24 23:20:44,635 [Thread: 15676] [payments_util - check_pay_channel_entries:108] No PayChannel entries found.
